Date,Open,High,Low,Close,MA_2,MA_3,Momentum_1
2018-04-01,305.0,368.75,303.3,362.05,333.475,329.7333333333333,7.600000000000023
2018-05-01,362.85,364.4,325.7,346.2,354.125,337.7166666666667,23.94999999999999
2018-06-01,348.0,350.1,327.35,339.6,342.9,349.2833333333333,34.700000000000045
2018-07-01,340.0,393.35,332.45,367.9,353.75,351.23333333333335,5.849999999999966
2018-08-01,369.95,404.0,338.0,343.4,355.65,350.29999999999995,-2.8000000000000114
2018-09-01,347.2,350.0,166.15,183.45,263.42499999999995,298.25,-156.15000000000003
2018-10-01,180.0,268.45,168.6,188.05,185.75,238.29999999999995,-179.84999999999997
2018-11-01,192.0,231.4,147.0,169.65,178.85000000000002,180.38333333333333,-173.74999999999997
2018-12-01,174.0,194.3,160.2,181.75,175.7,179.8166666666667,-1.6999999999999886
2019-01-01,182.85,236.3,181.15,194.3,188.025,181.9,6.25
2019-02-01,197.0,236.9,167.65,231.2,212.75,202.41666666666666,61.54999999999998
2019-03-01,234.6,281.3,228.8,275.05,253.125,233.51666666666668,93.30000000000001
2019-04-01,277.0,285.9,165.3,168.0,221.525,224.75,-26.30000000000001
2019-05-01,163.3,178.05,133.05,147.95,157.975,197.0,-83.25
2019-06-01,147.95,153.8,98.75,108.7,128.325,141.54999999999998,-166.35000000000002
2019-07-01,109.6,110.6,81.75,91.3,100.0,115.98333333333333,-76.7
2019-08-01,89.2,92.4,53.15,59.5,75.4,86.5,-88.44999999999999
2019-09-01,59.5,72.55,40.95,41.45,50.475,64.08333333333333,-67.25
2019-10-01,42.0,76.65,29.05,70.45,55.95,57.13333333333333,-20.849999999999994
2019-11-01,71.0,75.35,59.95,68.3,69.375,60.06666666666666,8.799999999999997
2019-12-01,70.0,70.5,40.7,46.95,57.625,61.900000000000006,5.5
2020-01-01,46.9,48.5,36.55,39.2,43.075,51.48333333333333,-31.25
2020-02-01,39.1,40.7,33.6,34.55,36.875,40.233333333333334,-33.75
2020-03-01,35.2,87.95,5.55,22.45,28.5,32.06666666666667,-24.500000000000004
2020-04-01,22.3,30.45,20.3,27.95,25.2,28.316666666666663,-11.250000000000004
2020-05-01,27.8,31.6,25.2,26.85,27.4,25.75,-7.699999999999996
2020-06-01,27.75,31.95,25.55,25.6,26.225,26.8,3.150000000000002
2020-07-01,25.6,28.3,11.1,11.95,18.775,21.46666666666667,-16.0
2020-08-01,12.0,17.16,11.85,14.37,13.16,17.30666666666667,-12.480000000000002
2020-09-01,14.3,15.34,12.75,13.15,13.76,13.156666666666666,-12.450000000000001
2020-10-01,13.3,14.01,12.11,12.42,12.785,13.313333333333333,0.47000000000000064
2020-11-01,12.41,14.9,12.21,14.67,13.545,13.413333333333334,0.3000000000000007
